City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
284,Annau,TM,2021-08-03 00:05:36,37.8876,58.516,80.1,21,20,6.91
285,Takoradi,GH,2021-08-03 00:05:37,4.8845,-1.7554,75.92,89,52,5.53
286,Malatya,TR,2021-08-03 00:05:37,38.5,38.0,80.65,28,0,8.05
287,Kavaratti,IN,2021-08-03 00:05:38,10.5669,72.642,82.09,72,63,14.29
288,Iqaluit,CA,2021-08-03 00:05:38,63.7506,-68.5145,47.95,82,100,6.17
289,Hobyo,SO,2021-08-03 00:05:39,5.3505,48.5268,77.25,75,54,21.52
290,Fort Nelson,CA,2021-08-03 00:02:13,58.8053,-122.7002,88.57,31,66,13.76
291,Galeana,MX,2021-08-03 00:05:39,24.8333,-100.0667,72.32,54,34,5.79
292,Havre,FR,2021-08-03 00:05:40,49.5833,0.3333,59.45,88,75,0.0
293,Warri,NG,2021-08-03 00:05:40,5.5167,5.75,75.99,89,99,4.07
294,Igarka,RU,2021-08-03 00:05:40,67.4667,86.5833,63.63,70,99,7.18
