City ID,City,Country,Max Temp,Lat,Lng,Hotel Name
495,Zonguldak,TR,64.51,41.25,31.8333,Süleyman Tez Ev
498,Kanniyakumari,IN,78.49,8.0833,77.5667,Sparsa
499,Manali,IN,84.29,13.1667,80.2667,Sarathy Lodge
501,Linxia,CN,61.0,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
503,Champerico,GT,88.36,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
504,Kearney,US,81.52,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
505,Juruti,BR,77.47,-2.1522,-56.0922,Hotel Acauã - ORLA
507,Maceio,BR,73.71,-9.6658,-35.7353,Poutur Pousada
508,Conde,BR,72.86,-7.2597,-34.9075,Pousada Beija Flor
510,Lufilufi,WS,83.79,-13.8745,-171.5986,Leuaina Beach Resort and Spa
511,Shizunai,JP,77.86,42.3339,142.3669,Shizunai Eclipse Hotel
512,San Policarpo,PH,84.38,12.1791,125.5072,JM Lodge
513,Gilgit,PK,76.48,35.9221,74.3087,Tourist Hamlet Gilgit
514,Agdam,AZ,76.24,39.991,46.9274,
516,Atbasar,KZ,64.89,51.8,68.3333,"The Ritz-Carlton, Astana"
518,Fontaine,FR,60.35,45.1984,5.6827,ibis Grenoble Gare
520,Fuxin,CN,66.07,42.0156,121.6589,Xinya International Hotel
521,Bairiki,KI,86.0,1.3292,172.9752,Tarawa Boutique Hotel
523,Manaus,BR,75.47,-3.1019,-60.025,Manaus Hotéis Millennium
524,Pangkalanbuun,ID,76.55,-2.6833,111.6167,Grand Kecubung Hotel
525,Itupiranga,BR,79.93,-5.1347,-49.3267,Hotel Panorama
526,Bubaque,GW,79.3,11.2833,-15.8333,"Casa Dora, Bubaque"
528,Luganville,VU,76.41,-15.5333,167.1667,The Espiritu Hotel
529,Santa Rosa,PH,84.85,14.3122,121.1114,Erlyn’s Sta Rosa City Home
530,Kamenka,RU,73.8,51.3223,42.7678,
531,Olinda,BR,74.16,-8.0089,-34.8553,Hotel Albergue de Olinda
532,Sidney,AU,65.32,-33.8679,151.2073,The Grace Sydney
533,Port Charlotte,US,89.01,26.9762,-82.0906,Knights Inn Port Charlotte
534,Batemans Bay,AU,60.91,-35.7167,150.1833,Batemans Bay Marina Resort
535,Riyadh,SA,87.94,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
536,Wamba,NG,70.11,8.9333,8.6,Roma Zee Guest House Annex
537,Xingyi,CN,62.98,24.1877,102.817,
539,Cabedelo,BR,74.07,-6.9811,-34.8339,Hotel Pigalle
541,Sao Felix Do Xingu,BR,75.65,-6.6447,-51.995,Rio Xingu Camping
542,Tecpan,GT,61.38,14.7623,-90.9947,San Ricardo Restaurante y Hotel
543,Clarence Town,AU,67.06,-32.5833,151.7833,River Downs Cottage
